Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti fulani alimkatiza mwakilishi wa Bunge.	Mtu mbaya alimkatiza mwakilishi.
Mtu wa Kiprotestanti anaweza kumudu mashine ya kuyeyusha.	Mtu mwenye pupa anaweza kumudu mashine ya kuyeyusha.
Mtu Mprotestanti anamiliki vazi.	Mtu mwenye nguvu anamiliki nguo.
Mprotestanti mmoja alizungumza na daktari.	Mtu mwenye akili alizungumza na Don.
Mtu wa Kiprotestanti alimpenda mtawala wa kimabavu.	Mtu asiye na ucheshi alimpenda mtawala mwenye kuonea.
Mtu wa Kiprotestanti alichukia Knight.	Mtu dhaifu alimchukia mpiganaji.
Mtu Mprotestanti anamiliki kitanda.	Mtu mwenye hekima ana kitanda.
Mtu Mprotestanti anamiliki ndizi.	Mtu mwenye akili ana ndizi.
Mprotestanti alikutana na babu yake.	Mtu mwema alikutana na babu.
Mprotestanti alizungumza na mtawala mwenye uonevu.	Mtu mwenye akili alizungumza na mtawala mkatili.
Mprotestanti mmoja alizungumza na mwanafunzi wa shule ya upili.	Mtu mwenye akili alizungumza na mzee.
Mprotestanti mmoja alinunua kifaa cha kuunganisha.	Mtu mwenye akili alinunua kifaa cha kuunganisha.
Mprotestanti aliokoa kuku.	Mtaalamu aliokoa kuku.
Mprotestanti mmoja alibadilishana ndizi.	Mtu mwenye akili alibadilisha ndizi.
Mtu wa Kiprotestanti alipenda VIP.	Mtu mbaya alipenda VIP.
Mprotestanti mmoja aliokoa saa.	Mtu asiye na ucheshi aliokoa saa.
Mprotestanti mmoja alibadilisha farasi.	Mtu mchafu alibadilisha farasi.
Mtu mmoja Mprotestanti alinunua nguruwe.	Mtu mwenye chuki alinunua nguruwe.
Mtu mmoja Mprotestanti alilipa kwa ajili ya ng'ombe.	Mtu mwema alilipa kwa ng'ombe.
Mtu Mprotestanti anamiliki tunda.	Mtu mwenye hekima anamiliki tunda.
Mprotestanti mmoja alitoa mchango wa chakula.	Mtu mbaya sana alitoa chakula.
Mtu Mprotestanti anamiliki mashine ya kuhesabu.	Mtu mkarimu ana mashine ya kuhesabu.
Mtu wa Kiprotestanti alipenda kundi.	Mtu mpole alipenda kundi.
Mtu mmoja Mprotestanti alimwita mstaafu.	Mtaalamu wa mtu aitwaye mstaafu.
Mtu Mprotestanti alipenda don.	Mtu mkatili alipenda Don.
Mprotestanti mmoja aliuza kuku.	Mtu mkarimu aliuza kuku.
Mprotestanti mmoja alimtambulisha msimamizi.	Mtu mwenye akili alifafanua msimamizi.
Mprotestanti aliokoa mbwa.	Mtu mwenye hila aliokoa mbwa.
Mprotestanti mmoja alibadilisha koti.	Mtu mkatili alibadilisha koti.
Mprotestanti mmoja alizungumza na kasisi.	Mtu fulani mwenye hila alizungumza na mkuu wa shule.
Mtu mmoja Mprotestanti alitoa saa.	Mtu mwenye hekima alitoa saa.
Mprotestanti mmoja alimwita mkuu wa shule.	Mtu mwovu alimwita mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa ajili ya vazi.	Mtu dhaifu alilipa kwa nguo.
Mtu mmoja Mprotestanti alinunua donut.	Mtu mwenye tabia mbaya alinunua donut.
Mtu mmoja Mprotestanti alibadilishana sandwich.	Mtu mwema alibadilishana sandwich.
Mprotestanti mmoja alianzisha urafiki na kikundi cha wafuasi.	Mtu mwenye sura mbaya akafanya urafiki na kikundi cha watu.
Mprotestanti mmoja alimpenda mzee mmoja.	Mtu mzuri alipenda mstaafu.
Mprotestanti mmoja alianzisha urafiki na kamanda.	Mtaalamu mmoja alianzisha urafiki na kamanda.
Mprotestanti mmoja alizungumza na hakimu.	Mtu mwenye akili alizungumza na hakimu.
Mprotestanti alizungumza na mgeni.	Mtu mwenye utaratibu alizungumza na mgeni.
Mtu wa Kiprotestanti aliweka bajeti ya mkate.	Mtu mwaminifu aliweka bajeti ya mkate.
Mtu mmoja Mprotestanti alimtembelea shah.	Mtu dhaifu alimtembelea shah.
Mtu wa Kiprotestanti anamiliki burger.	Mtu mwaminifu anamiliki burger.
Mtu Mprotestanti alimpenda bwana.	Mtu mpumbavu alimpenda bwana.
Mprotestanti alimkatiza nahodha.	Mtu asiye na ujuzi alivunja nahodha.
Mtu wa Kiprotestanti alipenda meneja.	Mtu mjanja alimpenda meneja.
Mtu mmoja Mprotestanti aliokoa mashine ya kuhesabu.	Mtu mwovu aliokoa mashine ya kuhesabu.
Mprotestanti mmoja alizungumza na mwenye nyumba.	Mtu mmoja mwenye utaratibu alizungumza na mmiliki.
Mprotestanti mmoja alibadilisha suti.	Mtu mwenye hekima alibadilisha suti.
Mprotestanti alibadilishana chakula.	Mtu fulani mwenye pupa alibadilishana chakula.
Mtu mmoja Mprotestanti alimtambua swami.	Mtaalamu mmoja alimtambua swami.
Mtu mmoja Mprotestanti aliuza suruali.	Mtu mwenye akili aliuza blouse.
Mtu Mprotestanti anamiliki simu.	Mtu mwenye pupa anamiliki simu.
Mprotestanti fulani aliendesha gari-moshi.	Mtu asiye na uvumilivu aliendesha gari-moshi.
Mtu mmoja Mprotestanti alikula sandwich.	Mtu mwenye haki alikula sandwich.
Mtu Mprotestanti anamiliki supu.	Mtu mwenye hekima anamiliki supu.
Mtu mmoja Mprotestanti alilipa kwa ajili ya chakula cha mchana.	Mtu mwenye chuki alilipa kwa ajili ya chakula cha mchana.
Mprotestanti mmoja alinunua taa.	Mtu mwenye hasira alinunua taa.
Mprotestanti mmoja alibadilishana pete.	Mtu mwema alibadilishana pete.
Mprotestanti alimkatiza rubani.	Mtu mwenye hekima alimkatiza rubani.
Mprotestanti fulani aliandaa pudding.	Mtu mwenye akili alitayarisha pudding.
Mprotestanti fulani aliendesha gari.	Mtu mwenye fadhili aliendesha gari.
Mtu wa Kiprotestanti alikula keki.	Mtu mbaya alikula keki.
Mprotestanti fulani alimkatiza mfanyakazi.	Mtu dhaifu alimkatiza mfanyakazi.
Mtu Mprotestanti anamiliki kitanda.	Mtu mwenye akili ana kitanda.
Mtu Mprotestanti anaweza kumudu punda.	Mtu mwenye hila anaweza kumudu punda.
Mprotestanti mmoja alitoa saladi.	Mtu mwenye akili alitoa saladi.
Mprotestanti mmoja alizungumza na kiongozi wa dini hiyo.	Mtu mnyofu alizungumza na mkuu.
Mtu mmoja Mprotestanti alimwita mstaafu.	Mtu mwenye nguvu aitwaye mstaafu.
Mtu wa Kiprotestanti aliweka bajeti ya saladi.	Mtu mwenye nguvu aliweka bajeti ya saladi.
Mprotestanti alikutana na sultani.	Mtu mwenye akili alipata sultan.
Mtu wa Kiprotestanti anamiliki keki.	Mtu mwenye hekima anamiliki pancake.
Mprotestanti mmoja alibadilisha simu.	Mtu mbaya alibadilisha simu.
Mprotestanti mmoja alinunua gari.	Mtu mwenye akili alinunua gari.
Mtu wa Kiprotestanti alichukia jamaa.	Mtu mwenye akili nyingi alichukia jamaa yake.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu mwenye hasira aliuza televisheni.
Mprotestanti alikula chakula.	Mtu mwenye hekima alikula chakula.
Mtu mmoja Mprotestanti aliandaa chakula cha jioni.	Mtu mwenye haki aliandaa chakula cha jioni.
Mtu Mprotestanti alimpenda mwenzake.	Mtu mwenye utaratibu alipenda mtu.
Mtu wa Kiprotestanti alimpenda mkurugenzi.	Mtu asiye na maarifa alimpenda mkurugenzi.
Mtu Mprotestanti anaweza kumudu farasi.	Mtu mwenye akili anaweza kumudu farasi.
Mtu wa Kiprotestanti alipenda swami.	Mtu mwenye utaratibu alipenda swami.
Mtu Mprotestanti alipenda Kanali.	Mtu mwenye akili alipenda Kanali.
Mtu mmoja Mprotestanti alitoa keki.	Mtu mchafu alitoa keki.
Mprotestanti alimkatiza mtu mzima.	Mtu mwenye jeuri alimkatiza mtu mzima.
Mprotestanti mmoja alifanya urafiki na mkurugenzi.	Mtu mwenye pupa alianzisha urafiki na mkurugenzi.
Mprotestanti mmoja aliuza nyumbu.	Mtu mkarimu aliuza nyumbu.
Mprotestanti mmoja alimtambulisha nahodha mmoja.	Mtu mwenye akili alimtambua nahodha.
Mtu wa Kiprotestanti aliweka bajeti ya shati.	Mtu mchafu aliweka bajeti ya shati.
Mtu wa Kiprotestanti alichukia mfalme.	Mtu mwema alimchukia mfalme.
Mtu mmoja Mprotestanti alilipa kwa ajili ya beret.	Mtu mwovu alilipa kwa ajili ya beret.
Mprotestanti mmoja alinunua kiamsha-kinywa.	Mtu mkatili alinunua kiamsha kinywa.
Mprotestanti mmoja alibadilisha kifaa cha kuunganisha.	Mtu mwenye nguvu alibadilisha stapler.
Mtu mmoja Mprotestanti aliitwa nahodha.	Mtaalamu wa mtu aitwaye nahodha.
Mtu wa Kiprotestanti alikula mkate.	Mtu mbaya alikula mkate.
Mtu wa Kiprotestanti alimaliza kula burger.	Mtu mzuri alimaliza burger.
Mtu Mprotestanti anamiliki aproni.	Mtu mpumbavu anamiliki aproni.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu mwovu aliuza kiamsha kinywa.
Mtu mmoja Mprotestanti alimtambua shah.	Mtu asiyejua kitu alimtambua shah.
Mprotestanti mmoja alitoa aproni.	Mtu mwenye nguvu alitoa aproni.
Mprotestanti mmoja alimwita meneja.	Mtu asiye na utani alimwita meneja.
Mtu wa Kiprotestanti aitwaye oligarch.	Mtu mzuri aitwaye oligarch.
Mtu wa Kiprotestanti aliweka bajeti ya shati.	Mtu mwenye bajeti nzuri kwa shati.
Mprotestanti mmoja aliuza kifaa cha kuunganisha.	Mtu safi aliuza stapler.
Mtu Mprotestanti anaweza kumudu friji.	Mtu asiye safi anaweza kumudu friji.
Mtu Mprotestanti alimchukia papa.	Mtu mbaya alichukia papa.
Mprotestanti mmoja alimpenda mfanyakazi wake.	Mtu mwenye pupa alimpenda mfanyakazi.
Mtu mmoja Mprotestanti aliandaa saladi.	Mtu mwovu alitayarisha saladi.
Mprotestanti alimkatiza gavana.	Mtu mpumbavu alimkatiza gavana.
Mprotestanti mmoja alinunua kabati.	Mtu mwenye pupa alinunua kabati.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu mchafu alipenda babu.
Mtu aliye Mprotestanti alichukia uongozi.	Mtu mbaya alichukia mtu mashuhuri.
Mprotestanti mmoja alinunua gari.	Mtu mwenye nguvu alinunua gari.
Mprotestanti alimkatiza mtawala mkatili.	Mtu dhaifu alimkatiza mtawala mkatili.
Mtu Mprotestanti alikula viazi.	Mtu asiye na utani alikula viazi.
Mtu mmoja Mprotestanti alimaliza kula saladi.	Mtu mwenye chuki alimaliza saladi.
Mprotestanti mmoja alilipa kwa ajili ya kiamsha kinywa.	Mtu fulani mwenye hila alilipa kwa ajili ya kiamsha-kinywa.
Mtu mmoja Mprotestanti aliuza muffin.	Mtu mwenye pupa aliuza muffin.
Mprotestanti mmoja alifanya urafiki na jenerali mmoja.	Mtaalamu alianzisha urafiki na jenerali.
Mtu Mprotestanti anaweza kumudu gari moshi.	Mtu asiye na elimu anaweza kumudu gari moshi.
Mtu Mprotestanti anaweza kumudu televisheni.	Mtu mwenye utaratibu anaweza kumudu televisheni.
Mprotestanti mmoja alizungumza na kiongozi wa kiume.	Mtu mwenye akili alizungumza na emir.
Mtu mmoja Mprotestanti alinunua meza.	Mtu mpumbavu alinunua meza.
Mtu mmoja Mprotestanti alibadilisha gari moshi.	Mtu asiyejua kitu alibadilisha gari moshi.
Kiongozi wa Kiprotestanti alivunjwa moyo.	Mtaalamu alivunja uongozi.
Mprotestanti mmoja alitoa kiatu.	Mtu mmoja mwenye fadhili alitoa kiatu.
Mprotestanti alibadilisha nguo.	Mtu mchafu alibadilisha nguo.
Mprotestanti mmoja alifanya urafiki na mfalme.	Mtu mchafu alishirikiana na mfalme.
Mprotestanti alikutana na mtu.	Mtu mwenye akili alikutana na mtu.
Mprotestanti mmoja alibadilisha kompyuta.	Mtu mzuri alibadilisha kompyuta.
Mtu wa Kiprotestanti alimpenda askofu.	Mtu mwenye sura mbaya alipenda askofu.
Mtu Mprotestanti anaweza kumudu taa.	Mtu mkarimu anaweza kumudu taa.
Mprotestanti mmoja alizungumza na kiongozi wa dini.	Mtu mwema alizungumza na mkuu wa kiume.
Mtu wa Kiprotestanti alikula mkate.	Mtu mkatili alikula mkate.
Mtu mmoja Mprotestanti aliokoa shati.	Mtu mwenye udanganyifu aliokoa blauzi.
Mprotestanti mmoja alibadilishana saladi.	Mtu asiye na uvumilivu alibadilisha saladi.
Mprotestanti alimkatiza jirani.	Mtu fulani mchafu alimkatiza jirani.
Mtu wa Kiprotestanti anaweza kumudu sofa.	Mtu mbaya anaweza kumudu sofa.
Mtu mmoja Mprotestanti alitoa chakula cha jioni.	Mtu mwenye haki alitoa chakula cha jioni.
Mprotestanti alikutana na mteja.	Mtu mwenye akili alikutana na mteja.
Mtu mmoja Mprotestanti alilipa kwa farasi.	Mtu mwenye akili alilipa kwa farasi.
Mtu mmoja Mprotestanti aliuza ndama.	Mtu mbaya sana aliuza ndama.
Mtu Mprotestanti alichukia rubani.	Mtu asiye safi alimchukia rubani.
Mtu Mprotestanti anaweza kumudu taa.	Mtu mwenye hila anaweza kumudu taa.
Mprotestanti alimkatiza hakimu.	Mtaalamu alivunja jaji.
Mprotestanti alilipa kwa kuku.	Mtu asiye safi alilipa kwa ajili ya kuku.
Mtu wa Kiprotestanti alimpenda seneta.	Mtu mwema alimpenda seneta.
Mprotestanti mmoja alitoa simu.	Mtu fulani mkarimu alitoa simu.
Mprotestanti alianzisha urafiki na mtu mwenye cheo cha juu.	Mtu mwenye jeuri alianzisha urafiki na mtu mwenye cheo cha juu.
Mtu mmoja Mprotestanti alibadilisha shati.	Mtu mwema alibadilishana blouse.
Mtu mmoja Mprotestanti alibadilisha kamera.	Mtu mzuri alibadilisha kamera.
Mprotestanti mmoja alitoa mchango wa mango.	Mtu mwema alitoa mango.
Mtu mmoja Mprotestanti aliweka bajeti ya toaster.	Mtu mbaya sana aliweka bajeti ya toaster.
Mtu mmoja Mprotestanti aliendesha gari la aina ya SUV.	Mtu asiye safi aliendesha gari la aina ya SUV.
Mtu wa Kiprotestanti anaweza kumudu sofa.	Mtu asiye na elimu anaweza kumudu sofa.
Mprotestanti mmoja alitoa koti.	Mtu mwenye hasira alitoa koti.
Mtu Mprotestanti anamiliki meza.	Mtu mwenye utaratibu ana meza.
Mtu mmoja Mprotestanti alibadilisha sofa.	Mtu mwenye akili alibadilisha sofa.
Mtu Mprotestanti alichukia mkuu wa shule.	Mtu mwenye akili alichukia mkuu wa shule.
Mtu mmoja Mprotestanti alimtambua tajiri.	Mtu mwenye akili aliweza kumtambua tajiri.
Mtu Mprotestanti alipenda nahodha.	Mtu mwenye hekima alimpenda nahodha.
Mtu mmoja Mprotestanti alitoa bluu.	Mtu dhaifu alitoa bluu.
Mtu mmoja Mprotestanti alinunua viazi.	Mtu mwovu alinunua viazi.
Mtu wa Kiprotestanti alipenda mtendaji.	Mtu mchafu alipenda mtendaji.
Mtu wa Kiprotestanti aliweka bajeti ya gari aina ya jeep.	Mtu mkatili aliweka bajeti ya gari la jeep.
Mtu mmoja Mprotestanti aliuza gari.	Mtu mwenye pupa aliuza gari.
Mprotestanti mmoja alifanya urafiki na jenerali mmoja.	Mtu mnyofu alikuwa rafiki wa jenerali.
Mtu mmoja Mprotestanti alitoa kibanda.	Mtu mwenye hekima alitoa kibanda.
Mtu mmoja Mprotestanti alimtambulisha kiongozi.	Mtu asiye na ujuzi alibainisha kiongozi.
Mtu mmoja Mprotestanti aliuza mbwa.	Mtu mwovu aliuza mbwa.
Mprotestanti mmoja alizungumza na mama mkwe wake.	Mtu mbaya alizungumza na mkwewe.
Mtu Mprotestanti alipenda mtu mzima.	Mtu mwema alimpenda mtu mzima.
Mprotestanti alimkatiza mpiganaji.	Mtu asiye na ujuzi alivunja mpiganaji.
Mprotestanti alikutana na mtawala mwenye mamlaka.	Mtu mwenye pupa alikutana na mtawala wa kujitegemea.
Mtu Mprotestanti anaweza kumudu meza.	Mtu mkarimu anaweza kununua meza.
Mtu mmoja Mprotestanti alitaja mtu fulani mashuhuri.	Mtu mwovu alijitambulisha kwa mtu mashuhuri.
Mprotestanti mmoja aliuza kifaa cha kuunganisha.	Mtu asiyejua kitu alibadilisha kifaa cha kuunganisha.
Mtu mmoja Mprotestanti alikula sandwich.	Mtu mzuri alikula sandwich.
Mprotestanti alikutana na mtu mzima.	Mtu mzuri alikutana na mtu mzima.
Mtu mmoja Mprotestanti aliendesha gari la aina ya SUV.	Mtu mwenye udanganyifu aliendesha gari la aina ya SUV.
Mtu mmoja Mprotestanti alizungumza na mtu fulani aliyemfahamu.	Mtu mmoja mwenye akili alizungumza na mtu aliyemfahamu.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu mwenye akili alipenda babu yake.
Mtu mmoja Mprotestanti alimtambulisha kasisi.	Mtu asiye na ujuzi alimtambua kasisi.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu mkarimu aliuza kiamsha-kinywa.
Mtu mmoja Mprotestanti aliuza mbwa.	Mtu asiye na ucheshi aliuza mbwa.
Mtu mmoja Mprotestanti alinunua shati.	Mtu mzuri alinunua shati.
Mprotestanti aliokoa kiatu.	Mtu mwema aliokoa kiatu.
Mtu wa Kiprotestanti aliweka bajeti ya gari.	Mtu mbaya sana aliweka bajeti ya gari.
Mtu Mprotestanti aliweka bajeti ya kununua kiatu.	Mtu mwenye hasira aliweka bajeti ya kununua kiatu.
Mtu mmoja Mprotestanti alitoa kabati.	Mtu mwenye hasira alitoa kabati.
Mprotestanti mmoja alikutana na msimamizi.	Mtu mbaya alikutana na meneja.
Mtu wa Kiprotestanti alichukia makamu wa rais.	Mtu mwenye akili alichukia makamu wa rais.
Mprotestanti alikutana na mtu mashuhuri.	Mtu mwenye pupa alikutana na mtu mashuhuri.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mwenye jeuri anaweza kumudu gari.
Mtu mmoja Mprotestanti alinunua suti.	Mtu asiye na uvumilivu alinunua suti.
Mprotestanti mmoja alifanya urafiki na sultani.	Mtu mwenye pupa akafanya urafiki na sultani.
Mprotestanti alilipa kwa ajili ya mwana-kondoo.	Mtu asiye na ujuzi alilipa kwa ajili ya mwana-kondoo.
Mprotestanti alikutana na mfalme.	Mtu mwenye haki alikutana na mfalme.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu mbaya sana aliweka bajeti ya kitanda.
Mtu mmoja Mprotestanti alinunua kompyuta ndogo.	Mtu mkatili alinunua kompyuta ndogo.
Mtu Mprotestanti anamiliki pizzeria.	Mtu mwenye chuki anamiliki pizzas.
Mtu wa Kiprotestanti aliweka bajeti ya kofia ya chuma.	Mtu mjanja aliweka bajeti ya helmeti.
Mtu wa Kiprotestanti alikula pancake.	Mtu mwenye akili alikula pancake.
Mprotestanti mmoja alianzisha urafiki na mtu mashuhuri.	Mtu asiye na uvumilivu alishirikiana na mtu mashuhuri.
Mtu Mprotestanti alipenda imperator.	Mtu mkarimu alimpenda kaisari.
Mprotestanti mmoja alizungumza na msimamizi.	Mtu asiye safi alizungumza na msimamizi.
Mtu aliye mprotestanti alimchukia mama mkwe.	Mtu asiye na utani alimchukia mama mkwe.
Mtu mmoja Mprotestanti alibadilishana keki.	Mtu mbaya alibadilisha brownie.
Mtu mmoja Mprotestanti alinunua kifaa cha kusikiliza sauti.	Mtu mwenye hasira alinunua kifaa cha kusikiliza.
Mprotestanti mmoja alibadilisha nguruwe.	Mtu mwenye akili alibadilisha nguruwe.
Mtu mmoja Mprotestanti alitoa kibanda.	Mtu mwenye kiburi alitoa rug.
Mtu mmoja Mprotestanti aliuza benchi.	Mtu mwenye hekima aliuza benchi.
Mprotestanti aliokoa mtu aliyekuwa amelala kwenye kiti.	Mtu asiye na ucheshi aliokoa mtu aliyelala kitandani.
Mtu mmoja Mprotestanti aliuza heater.	Mtu asiye na uvumilivu aliuza heater.
Mtu mmoja Mprotestanti alilipa kwa ajili ya stapler.	Mtu mwenye chuki alilipa kwa ajili ya stapler.
Mtu mmoja Mprotestanti aliuza mashine ya kuhesabu.	Mtu mchafu aliuza calculator.
Mtu Mprotestanti aitwaye mtu mzima.	Mtu mjanja alimwita mtu mzima.
Mtu mmoja Mprotestanti alioka tunda la mtofaa.	Mtu mwenye hila alichemsha tunda.
Mtu wa Kiprotestanti anamiliki burger.	Mtu mwenye hekima anamiliki burger.
Mtu mmoja Mprotestanti alilipa kwa simu.	Mtu asiye safi alilipa kwa simu.
Mprotestanti alipenda aristocrat.	Mtu mpumbavu alipenda aristocrat.
Mprotestanti aliokoa kitanda.	Mtu mkatili aliokoa kitanda.
Mprotestanti alimkatiza earl.	Mtu asiye na utani alimkatiza earl.
Mtu Mprotestanti aitwaye admirer.	Mtu mkarimu aitwaye admirer.
Mtu mmoja Mprotestanti alikula chakula.	Mtu mpole alikula chakula.
Mtu mmoja Mprotestanti alibadilisha laptop.	Mtu mbaya alibadilisha laptop.
Mprotestanti mmoja alimtambulisha jirani yake.	Mtu mwovu alimtambua jirani yake.
Mtu wa Kiprotestanti alipenda mtu mwenye cheo cha juu.	Na hakika yeye alikuwa ni mwenye kuwaruzuku watu kwa uovu.
Mtu Mprotestanti alipenda don.	Mtu mwenye jeuri alipenda don.
Mprotestanti mmoja alibadilishana mzunguko.	Mtu mjanja alibadilishana roll.
Mtu mmoja Mprotestanti alinunua paka.	Mtu mpumbavu alinunua paka.
Mtu mmoja Mprotestanti alinunua nguruwe.	Mtu mpumbavu alinunua nguruwe.
Mprotestanti alikutana na mtawala.	Mtu mbaya alikutana na mrithi.
Mprotestanti mmoja alimtambulisha kiongozi fulani.	Mtu fulani mwenye hila alimtambua mkuu fulani.
Mprotestanti mmoja alimtambulisha gavana.	Mtu mwenye hekima alimtambua gavana.
Mprotestanti mmoja aliuza kuku.	Mtu mpumbavu aliuza kuku.
Mprotestanti alibadilishana viatu.	Mtaalamu alibadilisha kiatu.
Mtu mmoja Mprotestanti alilipa kwa ajili ya vichwa vya sauti.	Mtu mwenye kiburi alilipa kwa ajili ya headphones.
Mtu mmoja Mprotestanti aliweka bajeti ya redio.	Mtu mkatili aliweka bajeti ya redio.
Mtu mmoja Mprotestanti alizungumza na mtu wa ukoo.	Mtu mbaya alizungumza na jamaa yake.
Mprotestanti alimkatiza mwabudu mwenzake.	Mtu asiye na maarifa alimkatiza mpenzi wake.
Mprotestanti mmoja alimpenda kijana mmoja.	Mtu asiyejua kitu alimpenda kijana.
Mtu mmoja Mprotestanti aliuza sofa.	Mtu mjanja aliuza sofa.
Mprotestanti mmoja alizuru kikundi cha watu.	Mtu mwenye udanganyifu alizuru kikundi.
Mprotestanti mmoja alizungumza na kiongozi wa kiume.	Mtu mwenye hasira alizungumza na emir.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu safi alibadilisha van.
Mtu Mprotestanti anaweza kumudu mavazi.	Mtu mjanja anaweza kumudu kuvaa mavazi ya aina hiyo.
Mtu mmoja Mprotestanti aliweka bajeti ya rafu ya vitabu.	Mtu mkarimu aliweka bajeti ya rafu ya vitabu.
Mtu mmoja Mprotestanti aliuza mashine ya kuyeyusha.	Mtaalamu mmoja aliuza mashine ya kuchanganya.
Mtu Mprotestanti anaweza kumudu kabati.	Mtu mtukutu anaweza kumudu kabati.
Mprotestanti mmoja alizungumza na kiongozi wa dini.	Mtu fulani asiye na utani alizungumza na mkuu wa ukoo.
Mtu mmoja Mprotestanti alitoa kabati.	Mtu mwenye hasira alitoa kabati.
Mtu wa Kiprotestanti aliweka bajeti ya chakula cha jioni.	Mtu mwenye akili aliweka bajeti ya chakula cha jioni.
Mprotestanti alimkatiza sultani.	Mtu dhaifu alimkatiza sultani.
Mtu mmoja Mprotestanti alinunua nguruwe.	Mtu mwaminifu alinunua nguruwe.
Mprotestanti mmoja alimpenda kijana mmoja.	Mtu mbaya sana alipenda kijana.
Mprotestanti mmoja alimtembelea msimamizi.	Mtu mwenye akili alimtembelea msimamizi.
Mprotestanti aliokoa punda.	Mtu mbaya sana aliokoa punda.
Mtu Mprotestanti aitwaye mkazi.	Mtu asiyejua kitu aitwaye mkaazi.
Mprotestanti mmoja alibadilisha beret.	Mtu mwenye hasira alibadilisha beret.
Mprotestanti alikutana na msimamizi.	Mtu mwenye pupa alikutana na msimamizi.
Mtu mmoja Mprotestanti alimwita mtendaji.	Mtu asiye na ujuzi wa kazi anaitwa mtendaji.
Mtu mmoja Mprotestanti alibadilisha meza.	Mtu mwenye akili alibadilisha meza.
Mtu wa Kiprotestanti aitwaye emir.	Mtu mwenye akili nyingi aitwaye emir.
Mprotestanti fulani alimtembelea nahodha.	Mtu mwenye akili alimtembelea nahodha.
Mtu mmoja Mprotestanti aliokoa kiamsha-kinywa.	Mtu mwenye utaratibu aliokoa kiamsha kinywa.
Mprotestanti mmoja alitoa gari.	Mtu mwovu alitoa gari.
Mprotestanti mmoja alibadilisha kichapishaji.	Mtu mzuri alibadilisha printa.
Mprotestanti alimkatiza kamanda.	Mtu mwenye akili alivunja amri ya kamanda.
Mtu wa Kiprotestanti alichukia makamu wa rais.	Mtu mbaya alichukia makamu wa rais.
Mtu mmoja Mprotestanti alimpenda amirali.	Mtu mbaya alipenda amirali.
Mtu wa Kiprotestanti aitwaye swami.	Mtu mwenye akili nyingi aitwaye swami.
Mtu Mprotestanti aitwaye mtawala.	Mtu dhaifu aitwaye mtawala.
Mprotestanti mmoja aliuza kifaa cha kuunganisha.	Mtu mjinga alibadilisha stapler.
Mtu wa Kiprotestanti aliweka bajeti ya gari la aina ya SUV.	Mtu safi bajeti kwa ajili ya SUV.
Mtu wa Kiprotestanti alipenda msimamizi.	Mtu mwenye akili alipenda msimamizi.
Mprotestanti mmoja alilipa kwa ajili ya kofia.	Mtu asiye na uvumilivu alilipa kwa ajili ya kofia.
Mtu mmoja Mprotestanti alibadilisha kofia.	Mtu dhaifu alibadilisha vazi.
Mtu mmoja Mprotestanti aliokoa taa.	Mtu asiye na ucheshi aliokoa taa.
